service_id,date,exception_type
BFA25GEN-Q071-Weekday-00_C42,20251210,2
BFA25GEN-Q071-Weekday-00_C42,20251211,2
BFA25GEN-Q071-Weekday-00_C42,20251212,2
BFA25GEN-Q071-Weekday-00_C42,20251215,2
BFA25GEN-Q071-Weekday-00_C42,20251216,2
BFA25GEN-Q071-Weekday-00_C42,20251217,2
BFA25GEN-Q071-Weekday-00_C42,20251225,2
BFA25GEN-Q071-Weekday-00_C42,20260101,2
BFA25GEN-Q071-Weekday-00_C42,20260119,2
BFA25GEN-Q071-Weekday-00_C42,20260216,2
BFA25GEN-R052-Sunday-00_C38,20251127,1
BFA25GEN-R052-Sunday-00_C38,20251214,2
BFA25GEN-R052-Sunday-00_C38,20251225,1
BFA25GEN-R052-Sunday-00_C38,20260101,1
BFA25GEN-R053-Saturday-00_C1,20251213,2
BFA25GEN-R053-Saturday-00_C1,20260119,1
BFA25GEN-R053-Saturday-00_C1,20260216,1
BFA25GEN-R096-Weekday-00_C37,20251127,2
BFA25GEN-R096-Weekday-00_C37,20251209,2
BFA25GEN-R096-Weekday-00_C37,20251210,2
BFA25GEN-R096-Weekday-00_C37,20251211,2
BFA25GEN-R096-Weekday-00_C37,20251212,2
BFA25GEN-R096-Weekday-00_C37,20251215,2
BFA25GEN-R096-Weekday-00_C37,20251216,2
BFA25GEN-R096-Weekday-00_C37,20251217,2
BFA25GEN-R096-Weekday-00_C37,20251225,2
BFA25GEN-R096-Weekday-00_C37,20260101,2
BFA25GEN-R096-Weekday-00_C37,20260119,2
BFA25GEN-R096-Weekday-00_C37,20260216,2
L0S1,20251209,1
L0S2,20251210,1
L0S3,20251211,1
L0S4,20251212,1
L0S5,20251213,1
L0S5 -1,20251212,1
L0S6,20251214,1
L0S7,20251215,1
L0S7 -1,20251214,1
L0S8,20251216,1
L0S8 -1,20251215,1
L0S9,20251217,1
L0S9 -1,20251216,1
L1S1,20251209,1
L1S1 -1,20251208,1
L1S2,20251210,1
L1S2 -1,20251209,1
L1S3,20251211,1
L1S3 -1,20251210,1
L1S4,20251212,1
L1S4 -1,20251211,1
L1S5,20251213,1
L1S6,20251215,1
L1S7,20251216,1
L1S8,20251217,1
L2S1,20251209,1
L2S2,20251210,1
L2S3,20251211,1
L2S4,20251212,1
L3S1,20251209,1
L3S2,20251211,1
SIR-FA2017-SI017-Saturday-00_C15,20251213,2
SIR-FA2017-SI017-Saturday-00_C15,20260119,1
SIR-FA2017-SI017-Saturday-00_C15,20260216,1
SIR-FA2017-SI017-Sunday-00,20251127,1
SIR-FA2017-SI017-Sunday-00,20251225,1
SIR-FA2017-SI017-Sunday-00,20260101,1
SIR-FA2017-SI017-Weekday-08,20251127,2
SIR-FA2017-SI017-Weekday-08,20251225,2
SIR-FA2017-SI017-Weekday-08,20260101,2
SIR-FA2017-SI017-Weekday-08,20260119,2
SIR-FA2017-SI017-Weekday-08,20260216,2
SIR-FA2017-SI017-Weekday-08_C19,20251127,2
SIR-FA2017-SI017-Weekday-08_C19,20251212,2
SIR-FA2017-SI017-Weekday-08_C19,20251225,2
SIR-FA2017-SI017-Weekday-08_C19,20260101,2
SIR-FA2017-SI017-Weekday-08_C19,20260119,2
SIR-FA2017-SI017-Weekday-08_C19,20260216,2
SIR-FA2017-SI017-Weekday-08_C20,20251127,2
SIR-FA2017-SI017-Weekday-08_C20,20251209,2
SIR-FA2017-SI017-Weekday-08_C20,20251210,2
SIR-FA2017-SI017-Weekday-08_C20,20251211,2
